Category,Value,ASY2c,AWY2a,AY2a,SY2c,WY12a
Gene type,IIG,1,1,1,1,1
Gene type,MT,8.2,11,10.3,7,8
Gene type,RE,9.1,10,10,9,8.9
Gene type,SP,1,1,1,1,1
System type,RM_Type_I,6,6,6,6,5
System type,RM_Type_II,9.2,13,12.3,8,9.9
System type,RM_Type_IIG,1,1,1,1,1
System type,Type_IV,3,3,3,3,3
HMM,GmrSD_N,3,3,3,3,3
HMM,Type_IIG_5,1,1,1,1,1
HMM,Type_II_MTases_FAM_1,2,2,2.1,2,2.1
HMM,Type_II_MTases_FAM_10,0.1,1,1,0,0
HMM,Type_II_MTases_FAM_17,1,1,1,0,0
HMM,Type_II_MTases_FAM_2,1,1,1,1,1
HMM,Type_II_MTases_FAM_21,0,0,0,0,0.9
HMM,Type_II_MTases_FAM_36,1.1,3,2.1,1,1
HMM,Type_II_MTases_FAM_4,1,1,1,1,1
HMM,Type_II_MTases_FAM_6,1,1,1.1,1,1.1
HMM,Type_II_REase06,1,1,1,1,1.9
HMM,Type_II_REase22,0.1,1,1,0,0
HMM,Type_II_REase30,1,1,1,1,1
HMM,Type_I_MTases_FAM_1,1,1,1,1,1
HMM,Type_I_REases_FAM_2.einsi_trimmed,4,4,4,4,3
HMM,Type_I_S_52,1,1,1,1,1
