sample,contig,IIG,MT,RE,SP
fix_EcCa437a,contig_1,1,6,9,1
fix_EcCa437a,contig_2,0,2,0,0
fix_EcCa437b,contig_1,1,5,8,1
fix_EcCa437b,contig_2,0,2,0,0
fix_EcCa442a,contig_1,1,6,9,1
fix_EcCa442a,contig_4,0,2,0,0
fix_EcCa442b,contig_1,1,6,9,1
fix_EcCa442b,contig_2,0,2,0,0
fix_EcCa442c,contig_3,1,6,9,1
fix_EcCa442c,contig_4,0,2,0,0
fix_EcCa449a,contig_1,1,6,9,1
fix_EcCa449a,contig_2,0,2,0,0
fix_EcCa449b,contig_1,1,6,9,1
fix_EcCa449b,contig_2,0,2,0,0
fix_EcCa449c,contig_1,1,6,9,1
fix_EcCa449c,contig_4,0,2,0,0
fix_EcCa449d,contig_1,1,6,9,1
fix_EcCa449d,contig_2,0,2,0,0
fix_EcCa460a,contig_1,1,6,9,1
fix_EcCa460b,contig_1,1,6,9,1
fix_EcCa460b,contig_2,0,4,0,0
fix_EcCa460c,contig_1,1,6,9,1
fix_EcCa460c,contig_2,0,4,0,0
fix_EcCa464a,contig_1,1,5,8,1
fix_EcCa464a,contig_2,0,2,0,0
fix_EcCa464b,contig_1,1,6,9,1
fix_EcCa464b,contig_2,0,2,0,0
fix_EcCa464c,contig_1,1,6,9,1
fix_EcCa464c,contig_2,0,2,0,0
fix_EcCa464d,contig_1,1,6,9,1
fix_EcCa464d,contig_2,0,2,0,0
fix_EcCa529a,contig_3,1,6,9,1
fix_EcCa529a,contig_6,0,2,0,0
fix_EcCa529b,contig_1,1,5,8,1
fix_EcCa529b,contig_5,0,1,1,0
fix_EcCa529b,contig_7,0,2,0,0
fix_EcCa530a,contig_1,1,6,9,1
fix_EcCa530a,contig_3,0,2,0,0
fix_EcCa530b,contig_1,1,6,9,1
fix_EcCa530b,contig_2,0,2,0,0
fix_EcCa530c,contig_3,1,6,9,1
fix_EcCa530c,contig_5,0,2,0,0
fix_EcCa531a,contig_1,1,9,10,1
fix_EcCa531a,contig_6,0,2,0,0
fix_EcCa531b,contig_3,1,8,10,1
fix_EcCa531b,contig_4,0,2,0,0
fix_EcCa531c,contig_1,1,8,10,1
fix_EcCa531c,contig_4,0,2,0,0
fix_EcCa531d,contig_1,1,8,10,1
fix_EcCa531d,contig_2,0,2,0,0
fix_EcCa532a,contig_1,1,8,10,1
fix_EcCa532a,contig_2,0,2,0,0
fix_EcCa533a,contig_1,1,8,10,1
fix_EcCa533a,contig_4,0,2,0,0
fix_EcCa534a,contig_1,1,9,10,1
fix_EcCa534a,contig_4,0,2,0,0
fix_EcCa534b,contig_1,1,8,10,1
fix_EcCa534b,contig_8,0,2,0,0
fix_EcCa534c,contig_1,1,8,10,1
fix_EcCa534c,contig_4,0,2,0,0
fix_EcCa534d,contig_1,1,8,10,1
fix_EcCa534d,contig_6,0,2,0,0
fix_EcCa535a,contig_1,1,9,10,1
fix_EcCa535a,contig_6,0,2,0,0
fix_EcCa535b,contig_1,1,9,10,1
fix_EcCa535b,contig_4,0,2,0,0
fix_EcCa535c,contig_3,1,9,10,1
fix_EcCa535c,contig_6,0,2,0,0
fix_EcCa535d,contig_3,1,9,10,1
fix_EcCa535d,contig_8,0,2,0,0
fix_EcCa536a,contig_1,1,9,10,1
